tag;label;scope;category;description
ficou-mal-resolvido;Ficou mal resolvido;event;encerramento-ruptura;A situação terminou sem fechamento satisfatório.
sexo;Sexo;event;sexo-intimidade;Houve sexo dentro de um evento que não necessariamente tinha sexo como tipo principal.
muito-beijo;Muito beijo;event;sexo-intimidade;Houve muito beijo ou contato físico intenso.
desejo;Desejo;event;sexo-intimidade;Houve sensação clara de desejo.
quimica-sexual;Química sexual;event;sexo-intimidade;Houve química sexual relevante.
toque;Toque;event;sexo-intimidade;Toque físico relevante, carinhoso ou íntimo.
dormiu-junto;Dormiu junto;event;sexo-intimidade;Dormiram juntos ou passaram a noite juntos.
intimidade;Intimidade;event;sexo-intimidade;Houve aumento de intimidade física ou emocional.
desconforto-sexual;Desconforto sexual;event;sexo-intimidade;Houve desconforto ligado à intimidade ou sexo.
limite-sexual;Limite sexual;event;sexo-intimidade;Houve limite sexual colocado, respeitado ou discutido.
ansiedade-minha;Ansiedade minha;event;auto-observacao;Sua ansiedade ficou perceptível no evento.
carencia-ativada;Carência ativada;event;auto-observacao;O evento ativou carência ou necessidade de validação.
medo-de-rejeicao;Medo de rejeição;event;auto-observacao;O medo de rejeição apareceu ou guiou sua leitura.
medo-de-repeticao;Medo de repetição;event;auto-observacao;O evento ativou medo de repetir histórias anteriores.
fui-reativo;Fui reativo;event;auto-observacao;Você percebeu reação impulsiva ou defensiva sua.
consegui-regular;Consegui regular;event;auto-observacao;Você conseguiu regular ansiedade ou emoção.
fui-com-calma;Fui com calma;event;auto-observacao;Você conseguiu respeitar o ritmo sem acelerar demais.
observei-mais;Observei mais;event;auto-observacao;Você observou a situação antes de agir ou cobrar.
investi-demais;Investi demais;event;auto-observacao;Você percebeu investimento emocional acima da reciprocidade.
